,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,214142,1539,1313,1663,1290,547,1009,412,1398,1310,712,1151,1490,1129,1670,4183,1211,3185,763,2532,346,1208,2990,308,833,1928,837,847,1071,2944,1729,1194,888,639,519,1536,832,3860,2371,192,942,1284,3068,2093,898,934,2599,2376,3219,940,920,1527
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,108,2,1331,281,0,0,0,0,179,19,2,26,0,313,0,0,0,0,0,0,30,0,60,0,84,33,5,0,161,0,0,0,140,8,0,89,3,0,0,195,0,50,52,10,471,81,0,2,88,0,0,0
3,633,0,253,1388,297,0,0,0,543,0,0,0,0,321,0,0,0,0,0,0,1202,0,0,0,48,650,19,0,231,0,0,0,202,0,0,163,19,2,5,132,0,273,20,215,467,1563,0,210,158,0,0,0
4,295,0,0,0,294,9,33,37,6,0,0,0,5,0,0,0,2,0,0,6,73,34,0,49,0,0,0,0,3,0,0,29,1,0,0,5,12,39,0,23,0,3,15,79,17,20,0,2,15,10,21,0
5,476,0,226,20,31,3156,185,1361,0,0,74,0,0,222,0,0,97,42,0,0,163,11,0,0,0,41,0,8,107,0,42,0,0,0,0,42,369,0,0,1141,0,157,127,46,728,237,0,0,931,500,1972,0
6,524,10,4,11,66,21,583,315,0,0,260,0,31,0,0,0,24,23,0,3,52,0,0,426,1,0,0,27,19,0,556,597,0,0,0,18,106,120,0,87,113,6,107,120,10,20,0,20,441,111,214,66
7,55,0,0,0,0,3,41,227,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,7,24,0,0,0,0,9,7,0,31,0,6,2,0,6,0,0,0,58,15,37,0
8,40,0,217,1079,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,71,0,0,0,0,0,0,78,0,0,0,0,0,0,17,0,0,46,0,42,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,400,3,437,3,0,149,215,79,353,5,1803,0,0,0,0,0,0,3,67,0,12,0,91,0,0,28,2,0,153,0,10,0,0,0,0,54,49,0,0,3,0,0,43,24,8,66,0,13,25,39,205,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,0,0,5,11,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,6,4,0,0,0,4,0,0,0,0,0,0,0,8,3,0
13,693,2,1980,785,0,0,0,0,192,0,0,0,0,2674,0,0,18,7,0,0,909,121,31,0,26,608,77,0,484,0,0,0,1928,0,0,619,25,33,0,1093,0,649,116,0,1973,901,0,741,165,19,16,0
14,32,0,16,2,0,0,0,0,0,0,0,0,7,0,67,0,18,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,9,0,12,0,0,0,10,16,0,0,0,0,2,39,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,165,0,0,0,3,7,18,11,1,0,6,0,25,0,0,0,167,0,0,0,0,0,0,5,0,0,0,36,8,0,73,13,0,0,0,0,7,41,0,11,84,7,0,0,4,0,0,2,105,10,26,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,510,0,10,34,255,0,0,44,78,0,0,0,0,18,0,0,16,13,0,14,1221,22,20,89,0,11,20,0,22,0,0,7,6,0,0,18,0,34,0,141,0,22,232,2,444,126,0,91,58,33,5,0
21,31,0,0,0,0,0,0,7,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36,0,0,21,0,0,0,5,0,28,6,0,19,20,0,0,0,0,0,0
22,108,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2590,12,13,1,471,9,1131,144,0,4,209,0,114,1,0,8,77,0,0,0,473,0,0,3920,9,0,23,7,31,0,783,1514,0,0,0,19,106,182,0,137,430,0,201,105,0,14,0,43,515,78,109,48
24,144,0,0,11,15,1,0,0,0,0,0,0,0,244,34,0,14,0,0,0,29,20,0,0,18,322,70,0,16,0,0,0,103,0,0,103,16,0,0,386,0,23,11,200,31,256,0,83,45,0,0,0
25,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,14,0,0,0,0,0,4,0,0,0
